PRODUIT;SYSTÈME;PHYSIQUE;ECART
TEMBO PRESSION;91;78;-13
LEGEND;35;30;-5
SODA;24;28;4
BEAUFORT GRAND;145;30;-115
FANTA ORANGE;45;14;-31
Maltina;39;25;-14
BEAUFORT PETIT;81;47;-34
NKOYI;78;59;-19
VITALO;23;15;-8
VERRE DE JUS;4;0;-4
BAVARIA;26;14;-12
Heineken Locale;51;25;-26
LEFFE BRUNE;49;19;-30
COCA EN BOUTEILLE;68;31;-37
XXL;31;14;-17
TURBO KING;11;12;1
Duvel;12;13;1
DUNHILL;16;8;-8
Energie Malt;14;10;-4
LEFFE BLONDE;36;23;-13
SAVANA;31;28;-3
AMBASSADE;15;13;-2
33 Export;46;29;-17
TONIC;31;16;-15
CASTEL;132;41;-91
Primus La Petite;4;4;0
EAU;144;7;-137
TEMBO BOUTEILLE;37;9;-28
CORONA;11;11;0
REDBULL;10;4;-6
Miel Naturel;0;7;7
Hunter’s;9;9;0
Ailes de poulet;11;10;-1
ASSIETTE DE FROMAGE;4;6;2
BANANE;2;3;1
Banane Bouillie;0;0;0
BAVETTE;0;0;0
BOLOGNAISE;0;0;0
Bouillon Makoso;0;27;27
Bouillon Ntaba;9;9;0
Boulette Viande;2;0;-2
Bout de Porc Fumé;0;0;0
Brochettes 2 pcs;1;0;-1
Brochettes en plat;0;0;0
Buffet Spécial;4;0;-4
COTE DE PORC;4;4;0
Cailles;0;0;0
Carbonade de Porc;1;0;-1
Champignons Frais;8;4;-4
CONTRE FILET;0;0;0
COTE A L'OS;4;4;0
COU PORC;0;0;0
CROQUE MONSIEUR;1;0;-1
Demi Poulet Fume;0;0;0
Dorade;0;0;0
Emballage;9;6;d
Epinard;6;6;0
FRITES;10;10;0
Fufu;10;10;0
Gesiers de Poulet;14;18;4
Gigot d'Agneau;0;0;0
Gombo;0;0;0
Grand Jambonneau;0;0;0
Grand Nzanda braisé 3 pers;0;0;0
Poisson Braisé Grand ;0;0;0
Gros Jeune capitaine;0;0;0
GUE;0;0;0
Hamburger;10;0;-10
JAMBONNEAU;0;0;0
Lapin;0;0;0
Légume Mixtes;2;2;0
Légume Vert;24;24;0
Légumes verts et poisson fumé;0;0;0
Liboke Poisson du Fleuve;0;0;0
Liboke Filet Adal;0;0;0
Lituma;4;4;0
Malua;0;0;0
Merguez 3 pcs;0;0;0
Mpoka Moyen braisé pour 2 pers;0;0;0
Mpose;0;0;0
Ngolo Braisé;2;0;-2
Ngulu Braisé 500gr;0;0;0
Nundu - Boss de Vache 500g;0;0;0
Pilon Fumé;6;4;-2
Pilon de poulet;13;17;4
Pilons panés;1;0;-1
Plat viande de Porc;1;0;-1
Poisson Braisé Moyen;0;0;0
Poisson Filet de Capitaine;0;0;0
Poisson fumé Mboto;0;0;0
Poisson Jeune Capitaine;0;0;0
Poisson Makayabu;3;13;10
Poisson Braisé Petit;1;0;-1
Poisson Frais du Fleuve;4;4;0
Poisson Perche;0;0;0
Poisson Saumon;4;3;-1
Poisson Sole;0;0;0
Poisson Tilapia;0;0;0
Pomme de terre ;10;15;5
Pondu;12;11;-1
Porc Braisé 500gr;0;0;0
Porc sauce tomate;0;0;0
Potage;0;0;0
Poulet Entier;5;5;0
Poulet Lumba Lumba;0;0;0
Poussin;0;0;0
Purée de pommes de terre;0;0;0
RIZ;11;10;-1
SAMBAZA;15;15;0
SAMOUSSA VIANDE;25;35;10
Sauce aux Champignons;0;0;0
SAUCISSE GOMA;2;2;0
Saucisses Fraiches 2 pièces;0;2;2
Saucisses piquantes Belgique;0;0;0
Souris d'agneau;0;0;0
Steak de Boeuf;0;0;0
Tucha;0;0;0
Chikwangue;43;43;0
Menu Special;0;0;0
Grand Tomahawk;0;0;0
Moyen Tomahawk;1;0;-1
Petit Tomahawk;3;0;-3
Souris D'agneau;0;0;0
Pilau;11;0;-11
Barbecue à Volonté;0;0;0
Ailes de Poulet Doux;1;0;-1
Bouillon de Bœuf;2;2;0
Assiette 5 Mini Prochettes ;5;0;-5
Petits Poids Frais;1;1;0
Filet Poisson façon Adal;8;3;-5
Coq au vin et champignon ;7;0;-7
Planche Mixte ;8;0;-8
Chèvre ;0;0;0
Mitshopo sauté;2;0;-2
Cotis fumé;12;12;0
Ntaba El Classico;5;0;-5
Côte d’Agneau;1;0;-1
Mesure de DOUBLE BLACK;5;28;
Mesure de RED LABEL;50;46;
Shot de Olmeca Sivler;26;20;
Bouteille Martell VS;0;0;
Mesure de GIN GORDON;42;10;
Mesure de Jack Daniel's #7;14;12;
Shot de Olmeca Chocolate;14;16;
Mesure de GIN BOMBAY;10;5;
Chivas 15 ans mesures;4;13;
Mesure d'Amarula;12;23;
Mesure de Baileys;0;15;
Mesure de Blue Label;10;10;
Mesure de CAPITAINE MORGAN;3;4;
Mesure de JAMSON;22;21;
Mesure de MALIBU;1;20;
Mesure Martell Blue Swift;12;11;
Mesure de JACK DANIEL'S HONEY;9;10;
4 cousins strawberry hilles;1;1;
Mesure de Campari;10;14;
Mesure de LIMONCELLO;6;6;
Baron d'Arignac Medium Sweet;1;2;
Mesure de Absolut VODKA;18;2;
Mesure de Bacardi Blanc;43;2;
Mesure de MARTINI BLANC;17;18;
Mesure de Gold Label;39;10;
Mesure de Henessy VSOP;17;17;
Mesure de DISARONNO;5;10;
Mesure Martel VS;11;16;
Chivas 12Y Mesures;12;12;
Mesure de COINTREAU;5;4;
Bouteille Sir Edward;9;1;
Mesure Glenfiddish 12 ans;12;13;
Bouteille Signore Prosecco;2;2;
4 Cousins Sauvignon Blanc;2;2;
Baron Blanc de Blancs;1;3;
L.-E Cabernet Sauvignon;6;5;
L.-E Merlot;7;6;
MOET BRUT 75cl;0;1;
Bouteille de Black Label 37.5cl;1;2;
Bouteille de Red Label 37.5cl;1;2;
Mesure de HENNESSY VS;17;15;
4 Cousins Sauvignon Rouge;1;1;
4 Cousins Rouge Merlot;4;1;
Baron D'arignac rouge moelleux;0;0;
Bouteille de GIN BOMBAY 75cl;1;0;
L.-E Sauvignon Blanc;3;3;
Mesure Jack Daniel Single Barrel;1;0;
Sir Edward Smoky;0;0;
Baron D'arignac Rouge Sec;0;0;
Bouteille de DOUBLE BLACK 75cl;3;0;
Bouteille de JAMSON;0;0;
Bouteille Glenfiddich 15ans;0;0;
Mesure Triple Sec;35;10;
Ruinart Blanc de Blancs;4;3;
Bouteille de BLACK LABEL;7;0;
Bouteille de CHIVAS 12yrs;0;0;
Bouteille de CHIVAS 15ans;0;0;
Bouteille de GIN GORDON;0;0;
Bouteille de HENNESSY VS;0;0;
Bouteille de J&B;0;0;
Bouteille de JACK DANIEL'S HONEY;0;0;
Bouteille Glenfiddich 12ans;0;0;
Martini sans Alcool;0;1;
Papillon Brut;0;0;
Ruinart Petit Brut;0;0;
4 cousins marule;2;2;
4 Cousins Chardonnay Blanc;0;0;
4 Cousins Sweet White;0;4;
BARON ICE;5;5;
Bonobo KwiluRhum Mesures;9;2;
Bouteille de AMARULA;0;0;
Bouteille de BAILEYS;0;0;
Bouteille de CHIVAS 18ans;1;1;
Bouteille de Courvoisier;0;0;
Bouteille de MALIBU;0;0;
Bouteille de RED LABEL;0;0;
Bouteille Glenfiddich 18 yrs;3;2;
Bouteille Jack Daniels Gentleman 70 cl;1;2;
Bouteille Jack Daniels Single barrel;11;0;
Bouteille Johnny Walker Gold 75Cl;0;0;
Bouteille Martell Blue Swift;0;0;
Bouteille Sheridan's;0;0;
Champagne Mercier Brut;6;0;
Veuve Clicquot Brut;3;3;
Cognac Bisquit Mesure;0;0;
DON OSCART BLANC DE BLANC;0;0;
DON OSCART BRUT;1;1;
DON OSCART ROSEE;1;0;
LAGAVULIN Mesures;5;0;
Mesure de Bacardi Brun;0;0;
Mesure de Black Label;25;28;
Mesure de Cassis;11;5;
Mesure de Cinzano Bianco;6;6;
Mesure de GET 27;0;0;
Mesure de J&B;19;22;
Mesure de JAGERMEIFTER;7;11;
Mesure de MARTINI ROUGE;1;17;
Mesure de Sheridan's;5;5;
Mesure de TEQUILA Camilo;23;29;
Mesure Grundheim;0;0;
Mesures de Tequila Anejo Patron;16;14;
Mesures Glenfiddich 15ans;39;20;
Mesures Grand Marnier;6;6;
Mesures Grant's 1L;3;2;
Moet Brut Moyen;1;2;
MOET ICE;2;2;
Papillon Demi Sec;0;0;
Pierre Grandet;0;0;
Ruinart Brut;0;0;
Vin Baron d'arignac Sec;0;0;
Vin Blanc Domaine de Baume;0;0;
Vin Rouge Celier D'Or sec;0;0;
Cocktail Sans Alcool;5;5;
Cocktail avec Alcool;6;6;
L.-E Bordeaux Blanc;0;0;
Shot de Tequila Jose Cuervo;16;0;
Mesure de RICARD;4;4;
Droit de bouchon;6;6;
