Nom;Stock;Real;Depot;Prix;Unit
33 Export;33;20;24;4;-
BAVARIA;0;25;48;2.5;-
BEAUFORT GRAND;63;32;40;3;-
BEAUFORT PETIT;40;50;144;2;-
CAFE;5;8;0;3;-
CAPUCCINO;0;4;0;3;-
CARTON JUS;0;1;0;7.5;-
CASTEL;50;53;0;3;-
COCA EN BOUTEILLE;28;37;0;2;-
COCA EN CANETTE;3;0;0;2;-
COCA ZERO;0;0;0;2;-
CORONA;13;13;0;5;-
DOPPEL;4;0;0;3;-
Duvel;25;24;60;7;-
Duvel Grand;1;1;0;18;-
EAU;40;38;48;1.5;-
Energie Malt;17;17;24;2;-
FANTA ORANGE;0;0;0;2;-
Guinness;21;20;60;5;-
Heineken Importé;37;38;240;5;-
Heineken Locale;64;34;144;3;-
Heineken Zéro;4;2;0;4;-
Kwak;1;2;0;10;-
LEFFE BLONDE;27;17;12;5;-
LEFFE BRUNE;31;29;36;5;-
LEGEND;14;4;60;2;-
Legend Grand;0;0;0;3;-
Maltina;21;15;60;2;-
MUTZIG;20;16;10;2;-
NESPRESSO;0;6;0;3;-
NKOYI;2;5;48;3;-
PRIMUS;57;16;12;3;-
Primus La Petite;2;0;0;2;-
REDBULL;9;6;48;4;-
SAVANA;36;18;0;3;-
SKOL;0;0;0;3;-
SODA;9;9;48;1.5;-
SPRITE;20;10;24;2;-
STELLA ARTOIS;0;10;12;5;-
TEMBO BOUTEILLE;60;52;36;4;-
TEMBO PRESSION;4854;45;90;3;-
THE;0;0;0;1;-
TONIC;2;18;60;1.5;-
TURBO KING;15;14;0;3;-
VERRE DE JUS;0;2;0;2.5;-
VITALO;18;15;12;3;-
XXL;22;5;82;2;-
