Nom;Stock;Prix
Ailes de poulet;12;7,5
ASSIETTE DE FROMAGE;0;5
BANANE;7;2
Banane Bouillie;0;2
BAVETTE;11;15
BOLOGNAISE;7;10
Bouillon Makoso;24;5
Bouillon Ntaba;0;10
Boulette Viande;0;15
Bout de Porc Fumé;0;10
Brochettes 2 pcs;11;7,5
Brochettes en plat;0;15
Buffet Spécial;0;25
COTE DE PORC;7;15
Cailles;0;15
Carbonade de Porc;10;15
Champignons Frais;0;2,5
CONTRE FILET;0;15
COTE A L'OS;0;15
COU PORC;0;8
CROQUE MONSIEUR;6;4
Demi Poulet Fume;0;10
Dorade;0;15
Emballage;0;1
Epinard;9;2
Filet pur de Boeuf;0;15
FRITES;54;3
Fufu;34;2
Gesiers de Poulet;0;7,5
Gigot d'Agneau;0;15
Gombo;0;2
Grand Jambonneau;0;25
Grand Nzanda braisé 3 pers;0;45
Grand Poisson Braisé;0;45
Gros Jeune capitaine;0;20
GUE;4;1
Hamburger;0;7
JAMBONNEAU;0;15
Jambonneau Fumé;0;15
Lapin;0;15
Légume Mixtes;0;2
Légumes verts;9;2
Légumes verts et poisson fumé;0;4
LIBOKE;0;15
Liboke de Mboto;0;15
Liboke de Monganza;0;15
Liboke de Mosombo;0;15
Liboke de Mpoka;0;15
Liboke de Mpose;0;15
Liboke de Mungusu;0;15
Liboke de Nzanda;0;15
LIBOKE MBIKA;0;15
Lituma;0;3
Malua;0;15
Mercredi poisson Spécial;0;12,5
Merguez 3 pcs;0;5
Moyen Poisson Braisé;0;30
Mpoka Moyen braisé pour 2 pers;0;30
Mpose;0;10
Ngolo Braisé;0;30
Ngulu Braisé 500gr;0;6
Nundu - Boss de Vache 500g;0;12
Petit Poisson Braisé;0;15
Pillon Fumé;0;10
Pilon de poulet;6;7,5
Pilons panés;0;9
Plat viande de Porc;0;15
Poisson Bar;0;20
Poisson Braisé;0;20
Poisson Filet de Capitaine;0;15
Poisson fumé Mboto;0;15
Poisson Jeune Capitaine;8;15
Poisson Makayabu;16;10
Poisson Malwa;0;15
Poisson Mbenga;0;15
Poisson Mboto;0;15
Poisson Merou;0;20
Poisson Monganza;0;15
Poisson Morue;0;15
Poisson Mosombo;8;15
Poisson Mosombo grand Braisé;0;30
Poisson Mosombo moyen  braisé;0;20
Poisson Mosombo petit braisé;0;12,5
Poisson MPoka;20;15
Poisson MPoka braisé 1 pers;0;15
Poisson MPoka petit braisé;0;15
Poisson Mungusu;0;15
Poisson Nkamba;0;15
Poisson Nzanda;0;15
Poisson Nzanda braisé 1 pers;0;15
Poisson Nzanda braisé 2 pers;0;30
Poisson Perche;0;15
Poisson Perche gros;0;30
Poisson Saumon;0;20
Poisson Sole;0;20
Poisson Tilapia;3;15
Pomme de terre;16;2
Pomme de terre Frites;0;3
PONDU;33;2
Porc Braisé 500gr;0;6
Porc sauce tomate;0;10
Potage;0;5
Poulet Entier;13;15
Poulet Lumba Lumba;0;15
Poussin;2;15
Purée de pommes de terre;0;4
RIZ;9;3
SAMBAZA;13;5
SAMOUSSA VIANDE;42;10
Sauce aux Champignons;0;3
SAUCISSE GOMA;32;7,5
Saucisses Fraiches 2 pièces;6;10
Saucisses piquantes Belgique;0;7,5
Souris d'agneau;0;20
Steak de boeuf;0;15
Tomahawk;0;30
Tucha;0;7
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
