id;name;inStock;reel;ecart
129;33 Export;0;0;0
130;BAVARIA;14;14;0
131;BEAUFORT GRAND;42;41;-1
132;BEAUFORT PETIT;42;42;0
134;CAPUCCINO;0;0;0
135;CARTON JUS;2;0;-2
136;CASTEL;55;55;0
137;COCA EN BOUTEILLE;30;32;2
138;COCA EN CANETTE;0;0;0
139;COCA ZERO;6;6;0
140;CORONA;9;9;0
141;DOPPEL;0;0;0
142;Duvel;24;24;0
143;Duvel Grand;1;1;0
144;EAU;32;33;1
145;Energie Malt;10;9;-1
146;FANTA ORANGE;10;14;4
147;Guinness;22;22;0
307;Heineken Grand;0;0;0
148;Heineken Importé;16;16;0
149;Heineken Locale;9;6;-3
150;Heineken Zéro;11;13;2
151;Kwak;1;1;0
152;LEFFE BLONDE;25;25;0
153;LEFFE BRUNE;19;19;0
154;LEGEND;9;7;-2
155;Legend Grand;0;0;0
156;Maltina;11;11;0
157;MUTZIG;20;20;0
158;NESPRESSO;21;20;-1
159;NKOYI;18;18;0
160;PRIMUS;7;7;0
161;Primus La Petite;8;8;0
162;REDBULL;6;7;1
163;SAVANA;28;29;1
164;SKOL;0;0;0
165;SODA;28;27;-1
166;SPRITE;11;11;0
167;STELLA ARTOIS;2;1;-1
168;TEMBO BOUTEILLE;40;40;0
308;TEMBO PETIT;3;3;0
169;TEMBO PRESSION;132;154;22
170;THE;20;20;0
171;TONIC;27;27;0
172;TURBO KING;24;24;0
173;VERRE DE JUS;1;13;12
296;Verre Gingembre;3;1;-2
174;VITALO;21;21;0
175;XXL;16;16;0
