id;name;depotStock;reel
129;33 Export;0;0
130;BAVARIA;24;12
131;BEAUFORT GRAND;50;0
132;BEAUFORT PETIT;120;120
134;CAPUCCINO;0;0
135;CARTON JUS;0;0
136;CASTEL;60;220
137;COCA EN BOUTEILLE;48;0
138;COCA EN CANETTE;0;0
139;COCA ZERO;16;16
140;CORONA;12;12
141;DOPPEL;0;0
142;Duvel;60;48
143;Duvel Grand;0;0
144;EAU;264;192
145;Energie Malt;24;24
146;FANTA ORANGE;36;36
147;Guinness;24;24
307;Heineken Grand;20;20
148;Heineken Importé;24;48
149;Heineken Locale;216;24
150;Heineken Zéro;12;12
151;Kwak;0;0
152;LEFFE BLONDE;72;60
153;LEFFE BRUNE;36;60
154;LEGEND;24;24
155;Legend Grand;0;0
156;Maltina;36;24
157;MUTZIG;20;20
158;NESPRESSO;0;0
159;NKOYI;48;48
160;PRIMUS;12;12
161;Primus La Petite;0;0
162;REDBULL;16;16
163;SAVANA;96;120
164;SKOL;0;0
165;SODA;0;0
166;SPRITE;60;72
167;STELLA ARTOIS;0;0
168;TEMBO BOUTEILLE;120;144
308;TEMBO PETIT;24;24
169;TEMBO PRESSION;70;210
170;THE;0;0
171;TONIC;24;0
172;TURBO KING;10;20
173;VERRE DE JUS;0;0
296;Verre Gingembre;0;0
174;VITALO;36;60
175;XXL;0;24
