id;name;bar;bar-reel;depot;depot-reel
129;33 Export;16;14;12;36
130;BAVARIA;15;11;48;12
131;BEAUFORT GRAND;30;29;80;40
132;BEAUFORT PETIT;54;56;72;120
134;CAPUCCINO;4;4;0;0
135;CARTON JUS;0;0;0;0
136;CASTEL;38;34;80;0
137;COCA EN BOUTEILLE;14;29;120;48
138;COCA EN CANETTE;0;0;0;0
139;COCA ZERO;0;0;0;0
140;CORONA;15;14;0;12
141;DOPPEL;0;0;0;0
142;Duvel;10;12;48;24
143;Duvel Grand;1;1;0;0
144;EAU;46;26;372;192
145;Energie Malt;12;4;0;72
146;FANTA ORANGE;17;4;48;24
147;Guinness;21;19;48;36
148;Heineken Importé;31;42;144;60
149;Heineken Locale;5;44;144;179
150;Heineken Zéro;8;10;24;24
151;Kwak;2;2;0;0
152;LEFFE BLONDE;27;22;48;60
153;LEFFE BRUNE;34;34;24;48
154;LEGEND;1;25;60;24
155;Legend Grand;0;0;0;0
156;Maltina;15;32;60;12
157;MUTZIG;10;11;10;0
158;NESPRESSO;3;3;0;0
159;NKOYI;15;11;24;36
160;PRIMUS;5;9;12;0
161;Primus La Petite;0;0;0;0
162;REDBULL;10;7;24;16
163;SAVANA;0;0;36;0
164;SKOL;0;0;0;0
165;SODA;26;26;12;24
166;SPRITE;9;3;12;36
167;STELLA ARTOIS;15;21;24;0
168;TEMBO BOUTEILLE;47;35;48;108
169;TEMBO PRESSION;62;40;90;30
170;THE;4;4;0;0
171;TONIC;6;3;84;72
172;TURBO KING;11;10;0;0
173;VERRE DE JUS;6;6;0;0
296;Verre Gingembre;7;7;0;0
174;VITALO;20;13;48;36
175;XXL;20;13;71;36
