id;name;inStock;reel
129;33 Export;18;15
130;BAVARIA;29;38
131;BEAUFORT GRAND;58;31
132;BEAUFORT PETIT;3;5
134;CAPUCCINO;4;4
135;CARTON JUS;1;1
136;CASTEL;45;46
137;COCA EN BOUTEILLE;42;32
138;COCA EN CANETTE;0;0
139;COCA ZERO;0;0
140;CORONA;8;8
141;DOPPEL;0;0
142;Duvel;19;23
143;Duvel Grand;1;1
144;EAU;39;14
145;Energie Malt;1;0
146;FANTA ORANGE;24;22
147;Guinness;26;26
148;Heineken Importé;12;32
149;Heineken Locale;14;45
150;Heineken Zéro;0;0
151;Kwak;2;2
152;LEFFE BLONDE;21;1
153;LEFFE BRUNE;33;33
154;LEGEND;20;14
155;Legend Grand;0;0
156;Maltina;14;5
157;MUTZIG;16;12
158;NESPRESSO;6;6
159;NKOYI;11;21
160;PRIMUS;4;5
161;Primus La Petite;0;0
162;REDBULL;16;14
163;SAVANA;21;24
164;SKOL;0;0
165;SODA;13;9
166;SPRITE;22;17
167;STELLA ARTOIS;12;10
168;TEMBO BOUTEILLE;41;57
169;TEMBO PRESSION;62;45
170;THE;0;0
171;TONIC;21;13
172;TURBO KING;14;13
173;VERRE DE JUS;2;3
296;Verre Gingembre;4;5
174;VITALO;21;15
175;XXL;23;16
