id;name;inStock;reel;depot
129;33 Export;18;15;12
130;BAVARIA;29;38;0
131;BEAUFORT GRAND;58;31;100
132;BEAUFORT PETIT;3;5;96
134;CAPUCCINO;4;4;0
135;CARTON JUS;1;1;0
136;CASTEL;45;46;100
137;COCA EN BOUTEILLE;42;32;120
138;COCA EN CANETTE;0;0;0
139;COCA ZERO;0;0;0
140;CORONA;8;8;0
141;DOPPEL;0;0;0
142;Duvel;19;23;48
143;Duvel Grand;1;1;0
144;EAU;39;14;384
145;Energie Malt;1;0;0
146;FANTA ORANGE;24;22;48
147;Guinness;26;26;48
148;Heineken Importé;12;32;168
149;Heineken Locale;14;45;168
150;Heineken Zéro;0;0;0
151;Kwak;2;2;0
152;LEFFE BLONDE;21;1;24
153;LEFFE BRUNE;33;33;24
154;LEGEND;20;14;12
155;Legend Grand;0;0;0
156;Maltina;14;5;72
157;MUTZIG;16;12;10
158;NESPRESSO;6;6;0
159;NKOYI;11;21;24
160;PRIMUS;4;5;12
161;Primus La Petite;0;0;0
162;REDBULL;16;14;24
163;SAVANA;21;24;48
164;SKOL;0;0;0
165;SODA;13;9;24
166;SPRITE;22;17;12
167;STELLA ARTOIS;12;10;24
168;TEMBO BOUTEILLE;41;57;48
169;TEMBO PRESSION;62;45;90
170;THE;0;0;0
171;TONIC;21;13;0
172;TURBO KING;14;13;0
173;VERRE DE JUS;2;3;0
296;Verre Gingembre;4;5;0
174;VITALO;21;15;0
175;XXL;23;16;71
