id;name;inStock;reel
176;Ailes de poulet;7;8
177;ASSIETTE DE FROMAGE;4;6
178;BANANE;26;
179;Banane Bouillie;0;
180;BAVETTE;6;5
181;BOLOGNAISE;7;6
182;Bouillon Makoso;6;
183;Bouillon Ntaba;2;
184;Boulette Viande;0;
185;Bout de Porc Fumé;0;
186;Brochettes 2 pcs;8;9
187;Brochettes en plat;0;
188;Buffet Spécial;0;
189;COTE DE PORC;5;
190;Cailles;0;
191;Carbonade de Porc;20;
192;Champignons Frais;0;
193;CONTRE FILET;0;
194;COTE A L'OS;0;
195;COU PORC;0;3
196;CROQUE MONSIEUR;5;5
197;Demi Poulet Fume;0;
198;Dorade;0;
199;Emballage;0;
200;Epinard;6;9
201;Filet pur de Boeuf;0;
202;FRITES;115;82
203;Fufu;25;28
204;Gesiers de Poulet;1;3
205;Gigot d'Agneau;0;
206;Gombo;0;
207;Grand Jambonneau;0;
208;Grand Nzanda braisé 3 pers;0;
209;Grand Poisson Braisé;0;
210;Gros Jeune capitaine;0;
211;GUE;4;
212;Hamburger;0;
213;JAMBONNEAU;0;
214;Jambonneau Fumé;0;
215;Lapin;0;
216;Légume Mixtes;0;
217;Légumes verts;8;9
218;Légumes verts et poisson fumé;0;
219;LIBOKE;0;
220;Liboke de Mboto;0;
221;Liboke de Monganza;0;
222;Liboke de Mosombo;0;
223;Liboke de Mpoka;0;
224;Liboke de Mpose;0;
225;Liboke de Mungusu;0;
226;Liboke de Nzanda;0;
227;LIBOKE MBIKA;0;
228;Lituma;0;
229;Malua;0;
230;Mercredi poisson Spécial;0;
231;Merguez 3 pcs;0;
232;Moyen Poisson Braisé;1;
233;Mpoka Moyen braisé pour 2 pers;0;
234;Mpose;0;
235;Ngolo Braisé;0;
236;Ngulu Braisé 500gr;0;
237;Nundu - Boss de Vache 500g;0;
238;Petit Poisson Braisé;0;
239;Pillon Fumé;0;
240;Pilon de poulet;8;8
241;Pilons panés;0;
242;Plat viande de Porc;0;
243;Poisson Bar;0;
244;Poisson Braisé;0;
245;Poisson Filet de Capitaine;0;
246;Poisson fumé Mboto;0;
247;Poisson Jeune Capitaine;7;7
248;Poisson Makayabu;12;
249;Poisson Malwa;0;
250;Poisson Mbenga;0;
251;Poisson Mboto;0;
252;Poisson Merou;0;
253;Poisson Monganza;0;
254;Poisson Morue;0;
255;Poisson Mosombo;4;
256;Poisson Mosombo grand Braisé;0;
257;Poisson Mosombo moyen  braisé;0;
258;Poisson Mosombo petit braisé;0;
259;Poisson MPoka;16;10
260;Poisson MPoka braisé 1 pers;0;
261;Poisson MPoka petit braisé;0;
262;Poisson Mungusu;0;
263;Poisson Nkamba;0;
264;Poisson Nzanda;0;
265;Poisson Nzanda braisé 1 pers;0;
266;Poisson Nzanda braisé 2 pers;0;
267;Poisson Perche;6;6
268;Poisson Perche gros;0;
269;Poisson Saumon;0;
270;Poisson Sole;0;
271;Poisson Tilapia;2;
272;Pomme de terre;10;
273;Pomme de terre Frites;4;
274;PONDU;14;12
275;Porc Braisé 500gr;0;
276;Porc sauce tomate;0;
277;Potage;0;
278;Poulet Entier;11;10
279;Poulet Lumba Lumba;0;
280;Poussin;2;
281;Purée de pommes de terre;0;
282;RIZ;0;3
283;SAMBAZA;13;7
284;SAMOUSSA VIANDE;26;60
285;Sauce aux Champignons;4;
286;SAUCISSE GOMA;1;51
287;Saucisses Fraiches 2 pièces;5;5
288;Saucisses piquantes Belgique;0;
289;Souris d'agneau;0;
290;Steak de boeuf;10;
291;Tomahawk;0;
292;Tucha;0;
293;Chikwangue;32;
300;Menu Special;10;
