id;name;inStock;reel
176;Ailes de poulet;5;19
177;ASSIETTE DE FROMAGE;4;3
178;BANANE;9;6
179;Banane Bouillie;3;
180;BAVETTE;15;3
181;BOLOGNAISE;7;5
182;Bouillon Makoso;8;14
183;Bouillon Ntaba;5;4
184;Boulette Viande;0;
185;Bout de Porc Fumé;0;
186;Brochettes 2 pcs;10;11
187;Brochettes en plat;7;11
188;Buffet Spécial;0;
190;Cailles;0;
191;Carbonade de Porc;4;6
192;Champignons Frais;0;
293;Chikwangue;2;7
193;CONTRE FILET;0;
194;COTE A L'OS;0;
189;COTE DE PORC;8;9
195;COU PORC;3;
196;CROQUE MONSIEUR;4;4
197;Demi Poulet Fume;0;
198;Dorade;0;
199;Emballage;0;
200;Epinard;5;7
201;Filet pur de Boeuf;0;
202;FRITES;14;56
203;Fufu;40;40
204;Gesiers de Poulet;2;2
205;Gigot d'Agneau;0;
206;Gombo;0;
207;Grand Jambonneau;0;
208;Grand Nzanda braisé 3 pers;0;
209;Grand Poisson Braisé;0;
303;Grand Tomahawk;2;0
210;Gros Jeune capitaine;0;
211;GUE;4;
212;Hamburger;0;10
213;JAMBONNEAU;0;
214;Jambonneau Fumé;0;
215;Lapin;0;
216;Légume Mixtes;0;2
217;Légumes verts;0;10
218;Légumes verts et poisson fumé;0;
219;LIBOKE;1;
220;Liboke de Mboto;0;
221;Liboke de Monganza;0;
222;Liboke de Mosombo;0;
223;Liboke de Mpoka;0;
224;Liboke de Mpose;0;
225;Liboke de Mungusu;0;
226;Liboke de Nzanda;0;
227;LIBOKE MBIKA;0;
228;Lituma;0;
229;Malua;0;
300;Menu Special;10;
230;Mercredi poisson Spécial;0;
231;Merguez 3 pcs;0;
232;Moyen Poisson Braisé;0;
304;Moyen Tomahawk;0;3
233;Mpoka Moyen braisé pour 2 pers;0;
234;Mpose;6;1
235;Ngolo Braisé;0;
236;Ngulu Braisé 500gr;0;
237;Nundu - Boss de Vache 500g;0;
238;Petit Poisson Braisé;0;
305;Petit Tomahawk;7;7
239;Pillon Fumé;0;
240;Pilon de poulet;11;10
241;Pilons panés;0;
242;Plat viande de Porc;0;
243;Poisson Bar;0;
244;Poisson Braisé;0;
245;Poisson Filet de Capitaine;0;
246;Poisson fumé Mboto;0;
247;Poisson Jeune Capitaine;4;4
248;Poisson Makayabu;8;8
249;Poisson Malwa;0;
250;Poisson Mbenga;0;
251;Poisson Mboto;8;5
252;Poisson Merou;0;
253;Poisson Monganza;0;3
254;Poisson Morue;0;
255;Poisson Mosombo;9;2
256;Poisson Mosombo grand Braisé;0;
257;Poisson Mosombo moyen  braisé;0;
258;Poisson Mosombo petit braisé;0;
259;Poisson MPoka;19;19
260;Poisson MPoka braisé 1 pers;0;
261;Poisson MPoka petit braisé;0;
262;Poisson Mungusu;0;
263;Poisson Nkamba;0;
264;Poisson Nzanda;2;
265;Poisson Nzanda braisé 1 pers;0;
266;Poisson Nzanda braisé 2 pers;0;
267;Poisson Perche;1;
268;Poisson Perche gros;0;
269;Poisson Saumon;0;
270;Poisson Sole;0;
271;Poisson Tilapia;0;
272;Pomme de terre;6;
273;Pomme de terre Frites;2;
274;PONDU;23;21
275;Porc Braisé 500gr;0;
276;Porc sauce tomate;0;
277;Potage;0;
278;Poulet Entier;11;10
279;Poulet Lumba Lumba;0;
280;Poussin;2;
281;Purée de pommes de terre;0;
282;RIZ;10;
283;SAMBAZA;10;14
284;SAMOUSSA VIANDE;10;25
285;Sauce aux Champignons;4;4
286;SAUCISSE GOMA;24;35
287;Saucisses Fraiches 2 pièces;4;3
288;Saucisses piquantes Belgique;0;
289;Souris d'agneau;0;0
306;Souris D'agneau;1;0
290;Steak de boeuf;10;
292;Tucha;0;
