id;name;depotStock;reel
1;4 Cousins Chardonnay Blanc;6;9
2;4 Cousins Rouge Merlot;6;6
3;4 Cousins Sauvignon Blanc;6;11
4;4 Cousins Sauvignon Rouge;9;0
5;4 Cousins Sweet White;12;12
6;Baron Blanc de Blancs;3;9
8;Baron D'arignac rouge moelleux;3;3
9;Baron D'arignac Rouge Sec;2;2
15;Bouteille de AMARULA;2;1
16;Bouteille de BAILEYS;2;2
17;Bouteille de BLACK LABEL;4;2
18;Bouteille de Black Label 37.5cl;3;3
19;Bouteille de CHIVAS 12yrs;2;2
20;Bouteille de CHIVAS 15ans;2;1
21;Bouteille de CHIVAS 18ans;1;1
23;Bouteille de DOUBLE BLACK 75cl;5;3
26;Bouteille de GIN GORDON;2;2
27;Bouteille de HENNESSY VS;3;3
28;Bouteille de J&B;2;2
30;Bouteille de JACK DANIEL'S;3;2
33;Bouteille de MALIBU;1;1
36;Bouteille de RED LABEL;6;4
37;Bouteille de Red Label 37.5cl;12;10
40;Bouteille Glenfiddich 12ans;2;1
41;Bouteille Glenfiddich 15ans;1;2
42;Bouteille Glenfiddich 18 yrs;2;1
45;Bouteille Jack Daniels Gentleman 70 cl;1;0
46;Bouteille Jack Daniels Single barrel;3;2
47;Bouteille Johnny Walker Gold 75Cl;2;0
52;Bouteille Signore Prosecco;11;2
53;Bouteille Sir Edward;4;1
62;DON OSCART BRUT;2;2
65;L.-E Cabernet Sauvignon;3;3
66;L.-E Merlot;5;8
67;L.-E Sauvignon Blanc;9;15
69;Martini sans Alcool;1;1
77;Mesure de Blue Label;24;24
83;Mesure de DISARONNO;11;11
92;Mesure de JAGERMEIFTER;15;15
111;MOET BRUT 75cl;4;3
113;MOET ICE;2;0
114;Papillon Brut;2;2
119;Ruinart Petit Brut;1;1
